ParticipantID,List_7,List_30,List_180,List_365,List_1825,List_5475,Indiff_Avg,k_7,k_30,k_180,k_365,k_1825,k_5475,k_avg,ln_k
DelayDiscountingTitrated-2013-1,999.0,999.0,999.0,999.0,999.0,925.0,986.6666666666666,0.000143000143000143,3.33667000333667e-05,5.561116672227784e-06,2.7424684958931536e-06,5.484936991786307e-07,1.4809329877823029e-05,3.333804196310538e-05,-10.308811411727229
DelayDiscountingTitrated-2056-1,975.0,699.0,805.0,499.0,99.0,49.0,521.0,0.003663003663003663,0.01435383881735813,0.0013457556935817805,0.0027507068932385316,0.0049868548498685486,0.0035448700027956386,0.005107504986641048,-5.277044254936008
DelayDiscountingTitrated Backup1-3045-1,999.0,999.0,799.0,851.0,399.0,13.0,676.6666666666666,0.000143000143000143,3.33667000333667e-05,0.0013975803087192323,0.0004796935112599198,0.0008253510488550142,0.01386722866174921,0.0027910367289361478,-5.881342164738064
DelayDiscountingTitrated Backup1-3085-1,999.0,999.0,599.0,875.0,499.0,97.0,678.0,0.000143000143000143,3.33667000333667e-05,0.00371916156557225,0.0003913894324853229,0.0005501413786477064,0.0017003248128795367,0.0010895640054363876,-6.821977657772917
DelayDiscountingTitrated-3133-1,999.0,989.0,399.0,901.0,62.0,75.0,570.8333333333334,0.000143000143000143,0.0003707448601280755,0.008368142578668894,0.00030103537925896647,0.00828988068935042,0.0022526636225266364,0.003287577878822189,-5.7176041923832726
DelayDiscountingTitrated-2096-1,999.0,998.0,993.0,996.0,599.0,139.0,787.3333333333334,0.000143000143000143,6.68002672010688e-05,3.916303009958599e-05,1.100291577267976e-05,0.0003668214146865781,0.0011313688775007392,0.00029302610804346577,-8.135248846966512
DelayDiscountingTitrated-3152-1,599.0,599.0,599.0,497.0,369.0,9.0,445.3333333333333,0.095635583114715,0.0223149693934335,0.00371916156557225,0.002772801190705879,0.0009370011508334262,0.020111618467782852,0.024248522480507146,-3.71939959209375
DelayDiscountingTitrated-3117-1,999.0,899.0,419.0,449.0,49.0,65.0,480.0,0.000143000143000143,0.0037449017426770485,0.0077035269159374175,0.003362113677273698,0.010634610008386917,0.0026273270108886546,0.004702579916360646,-5.3596440024921
DelayDiscountingTitrated-1125-1,999.0,998.0,799.0,999.0,399.0,99.0,715.5,0.000143000143000143,6.68002672010688e-05,0.0013975803087192323,2.7424684958931536e-06,0.0008253510488550142,0.001662284949956183,0.0006829598643712558,-7.28907446385183
DelayDiscountingTitrated Backup1-3019-1,901.0,849.0,399.0,353.0,137.0,119.0,459.6666666666667,0.015696844775646108,0.005928543384373773,0.008368142578668894,0.005021537506306027,0.0034516548345165485,0.0013522121177238018,0.006636489199539192,-5.015172190332598
DelayDiscountingTitrated Backup1-3141-1,999.0,989.0,901.0,974.0,801.0,499.0,860.5,0.000143000143000143,0.0003707448601280755,0.0006104328523862375,7.313437034119996e-05,0.0001361312058556941,0.00018338045954923547,0.00025280398187676426,-8.282896144720823
DelayDiscountingTitrated Backup1-3104-1,949.0,801.0,499.0,79.0,49.0,49.0,404.3333333333333,0.007677254252596718,0.008281315022888057,0.005577822311289245,0.03194035026877059,0.010634610008386917,0.0035448700027956386,0.01127603697778786,-4.485075426400081
DelayDiscountingTitrated-1080-1,999.0,499.0,499.0,963.0,875.0,85.0,653.3333333333334,0.000143000143000143,0.03346693386773547,0.005577822311289245,0.00010526465525825403,7.827788649706458e-05,0.001966156325543916,0.006889575864887349,-4.977745753922848
DelayDiscountingTitrated-3037-1,901.0,889.0,849.0,899.0,155.0,801.0,749.0,0.015696844775646108,0.004161979752530934,0.0009880905640622954,0.00030780014323373,0.0029871851524524966,4.537706861856469e-05,0.004031212909424021,-5.513687978225552
